#"Step","Potential Energy (kJ/mole)","Temperature (K)"
16000000,-3395.4288014769554,278.5876281256024
16040000,-3342.8645976159605,302.890064751959
16080000,-3313.1418546829373,297.7844073833735
16120000,-3344.5464343726635,297.24281136238824
16160000,-3263.059312235564,313.5188954477354
16200000,-3301.173902223818,292.336356356864
16240000,-3357.2431889772415,303.6946052420948
16280000,-3229.2299642264843,267.04857937025787
16320000,-3352.238272028044,287.3250408127464
16360000,-3403.932677392848,287.2977048616873
16400000,-3381.3982604880875,300.129821128754
16440000,-3286.441825851798,284.8746402403282
16480000,-3401.74281107774,286.01984986513804
16520000,-3386.251340150833,286.10271966293783
16560000,-3243.698065549135,300.3507364126734
16600000,-3472.97033315897,284.3721820063587
16640000,-3309.3718471534085,287.16293198039415
16680000,-3374.75314270705,302.3544508557163
16720000,-3363.4004703760147,303.6303590208438
16760000,-3386.715404572431,308.1092429432644
16800000,-3393.879607565701,281.91031798463695
16840000,-3279.4361234903336,285.3797740605698
16880000,-3349.202438443899,305.59162270659715
16920000,-3323.5432965159416,283.2962156059298
16960000,-3219.495604692027,299.74714744278253
17000000,-3388.5749167203903,308.5365928246536
17040000,-3439.23359310627,314.250052356481
17080000,-3342.4336693286896,310.89006752214846
17120000,-3287.295264750719,289.2400593413279
17160000,-3330.8107927404344,312.5788007703331
17200000,-3297.9067426919937,339.3153596614606
17240000,-3314.782134860754,265.9874432714997
17280000,-3448.643031101674,309.97657261934296
17320000,-3261.4625754356384,312.0439541650969
17360000,-3354.9431038200855,329.11152178588173
17400000,-3359.4898369833827,304.2233969438391
17440000,-3308.63493360579,282.7528940674935
17480000,-3443.522995054722,286.09059232199326
17520000,-3280.1805397495627,306.99642653431675
17560000,-3291.362166941166,291.7396714139431
17600000,-3443.7162917256355,292.1466719802362
17640000,-3366.982879281044,311.1568565585643
17680000,-3377.307181501761,303.4840864450975
17720000,-3423.613386824727,302.24277340990085
17760000,-3420.6025569234043,300.836963524751
17800000,-3282.348854780197,313.58062378781904
17840000,-3382.7452177256346,301.3232088604342
17880000,-3321.1036354117095,305.67754875112837
17920000,-3386.7376060243696,325.2170691745527
17960000,-3404.592913709581,320.42036494662295
18000000,-3419.9230644330382,312.07135300804526
18040000,-3331.5948459506035,274.4001516512413
18080000,-3428.692551003769,303.0819086607415
18120000,-3402.3586333990097,311.01982465691026
18160000,-3396.499558568001,299.019609018387
18200000,-3277.924879380036,265.22065840077875
18240000,-3412.5384095776826,274.83045245235894
18280000,-3355.9052256299183,285.607955719972
18320000,-3408.7161054611206,315.43645850715245
18360000,-3424.6546924724244,316.74028271314086
18400000,-3348.0096859587356,309.62316995479864
18440000,-3402.447056176141,299.66760735219697
18480000,-3441.93739820458,309.0034890614338
18520000,-3326.0348659306765,284.38997926163154
18560000,-3307.0843415260315,301.4263169634691
18600000,-3426.4098584353924,278.1152159268185
18640000,-3444.237855322659,312.41831278854534
18680000,-3364.1678954437375,270.8563704292511
18720000,-3357.0926914811134,310.3332733762841
18760000,-3344.3133719414473,312.7559927052695
18800000,-3428.896803651005,300.1508265043874
18840000,-3293.4931847453117,299.3130278877576
18880000,-3373.774046641309,330.3225166715106
18920000,-3353.1727221012115,307.1067248868923
18960000,-3363.3058598339558,313.5443277436225
19000000,-3443.754109889269,295.39081269445234
19040000,-3392.064772963524,298.22779551259737
19080000,-3344.467677474022,322.61107605925923
19120000,-3331.4035730063915,315.72588162722576
19160000,-3367.0189299583435,310.7254555859631
19200000,-3394.7982336729765,301.0530783054791
19240000,-3278.498478540452,305.2400111665338
19280000,-3451.412804931402,271.73095277334335
19320000,-3442.8342802524567,304.5147139898714
19360000,-3393.65861898195,304.84983093740317
19400000,-3305.478712439537,297.1498802240143
19440000,-3334.963856846094,308.5253249416085
19480000,-3456.672233760357,319.9539246511488
19520000,-3409.748740464449,308.3885164838683
19560000,-3394.0281324386597,295.2907482947169
19600000,-3379.057954465039,309.1499225240215
19640000,-3374.3928647693247,301.3156553218674
19680000,-3378.4429245563224,316.24908591869945
19720000,-3312.5598112549633,302.29189372666843
19760000,-3406.9057119712234,305.1295930393132
19800000,-3357.425518453121,302.626702428511
19840000,-3332.277751252055,302.84279223890223
19880000,-3356.8311064578593,309.83206944939354
19920000,-3415.9859415590763,280.0159038967485
19960000,-3436.1413993239403,296.0184067470665
20000000,-3298.3595178350806,279.43439821475164
20040000,-3369.9870587587357,297.8515785655497
20080000,-3381.0711311474442,301.8214782421437
20120000,-3358.682082414627,325.23640322231347
20160000,-3306.3041394129395,289.9430844753607
20200000,-3362.6220128424466,296.23120573695684
20240000,-3373.8259171782993,307.7628648959022
20280000,-3391.826573807746,318.19839052949936
20320000,-3398.403039732948,285.06339600374844
20360000,-3400.7627293064725,302.5906878173197
20400000,-3332.9418859067373,292.5130525094796
20440000,-3368.9689823221415,301.20275388405645
20480000,-3352.0617945194244,292.8773328121099
20520000,-3310.905556321144,302.7239732413464
20560000,-3338.310289800167,269.41466548999716
20600000,-3370.036375939846,302.6698921944185
20640000,-3293.827767573064,286.2492149827038
20680000,-3417.685117483139,294.3254002537284
20720000,-3434.139993928373,307.2855694238705
20760000,-3407.454912751913,299.76413259087957
20800000,-3313.018784337677,307.46989013235304
20840000,-3412.8349291160703,303.84417068153033
20880000,-3320.003969241865,290.2192855564813
20920000,-3412.796594548039,307.94060243938054
20960000,-3262.8888494321145,285.5483769624659
21000000,-3379.308853805065,312.39216394983947
21040000,-3348.872394129634,306.92396436171384
21080000,-3299.3620707802474,327.3454281910301
21120000,-3368.263139002025,274.99196596147254
21160000,-3342.660710938275,303.0380985522073
21200000,-3342.0716569810174,315.31487085911255
21240000,-3288.613584816456,314.6225984862235
21280000,-3354.359377026558,302.93066199803206
21320000,-3248.472699057311,297.6787252226546
21360000,-3340.565162949264,324.55625476825725
21400000,-3378.8433924019337,288.6220385604457
21440000,-3400.131084688008,315.8006836272234
21480000,-3338.106124419719,296.0620555480417
21520000,-3428.3171567320824,271.6948350357404
21560000,-3312.862757229246,293.49294090753654
21600000,-3418.153978705406,304.9676001214502
21640000,-3483.0616236509536,280.51585214703204
21680000,-3348.60139554739,287.32944333578087
21720000,-3325.884219765663,315.1307595851898
21760000,-3353.0283984676353,292.5366715722328
21800000,-3358.9266402721405,292.8539504485545
21840000,-3424.4404044635594,308.7946592951427
21880000,-3271.066912174225,299.14703416515493
21920000,-3311.0930156111717,298.8959565962557
21960000,-3300.968728701584,309.298995760224
22000000,-3329.922831237316,299.154489498899
22040000,-3282.897234734148,306.5912151148397
22080000,-3307.4943727850914,296.17322918227575
22120000,-3283.612099211663,282.33229315966076
22160000,-3292.181209087372,288.1585651324291
22200000,-3309.3280650377274,303.61716173930694
22240000,-3452.4623700380325,317.8686465976541
22280000,-3366.4595825374126,294.82916760225345
22320000,-3348.0448819845915,279.25671596096436
22360000,-3312.6022860109806,290.4418340098843
22400000,-3366.6600936324394,307.7580028078765
22440000,-3257.880369633436,308.51545880465574
22480000,-3372.476518690586,301.9991513938897
22520000,-3309.7667124681175,288.72305329353685
22560000,-3415.4151233285666,308.08816954806474
22600000,-3466.9752663373947,289.32794962580743
22640000,-3363.744037568569,343.2878700596534
22680000,-3323.687216758728,309.23088505345765
22720000,-3312.0952302320948,300.4033013237544
22760000,-3359.994088292122,298.2248459418979
22800000,-3331.0292531251907,304.4030249313759
22840000,-3369.819789171219,302.8389744828567
22880000,-3429.271031975746,307.61594948146967
22920000,-3335.0606923140585,332.6726674825294
22960000,-3463.2446293085814,308.2248427143977
23000000,-3339.0734882950783,326.4439809481158
23040000,-3383.189143717289,297.08569551829163
23080000,-3445.01953925984,293.8108054010673
23120000,-3280.9556358084083,308.6301087719906
23160000,-3391.8337046690285,296.94479779191556
23200000,-3280.111683510244,303.63520131269826
23240000,-3268.969932258129,268.0428313625591
23280000,-3417.3157620429993,281.20793052256784
23320000,-3291.4942153692245,292.02375231806815
23360000,-3417.8459462062456,304.66757121484665
23400000,-3341.5335408904357,297.64378263428966
23440000,-3268.3032804578543,321.56652302177906
23480000,-3373.0563098192215,313.5939795714811
23520000,-3414.793924808502,300.85730829687964
23560000,-3471.817799806595,306.93541130932726
23600000,-3357.7612080574036,293.0628922983261
23640000,-3385.3972165118903,309.2190030976715
23680000,-3326.322254353203,311.2356147111242
23720000,-3334.9327554404736,296.1398141276864
23760000,-3375.902364773676,301.6422713708068
23800000,-3384.61138227582,304.96775242262976
23840000,-3396.556521743536,311.62805111320785
23880000,-3411.047268828377,301.71642027090746
23920000,-3313.625483561307,301.5897195097757
23960000,-3325.581742102746,288.78183797517255
24000000,-3427.4441729187965,283.6041162826057
24040000,-3459.574591998011,303.7755234287907
24080000,-3331.4411795288324,294.87486587311287
24120000,-3276.177596516907,292.19499991620495
24160000,-3474.5022292882204,331.6356159620808
24200000,-3393.4921580553055,308.58648862519226
24240000,-3315.1036043167114,311.6446379189992
24280000,-3434.4763153791428,305.84177023224004
24320000,-3403.3299384713173,280.5310562927585
24360000,-3410.6509853079915,282.54159095214686
24400000,-3300.006366699934,302.2942277557763
24440000,-3444.1776498779655,299.2154536882267
24480000,-3325.663855969906,312.22276996736645
24520000,-3356.7578027695417,299.57477588090734
24560000,-3394.9582885056734,297.1431310435156
24600000,-3349.6598460823298,303.3766838975329
24640000,-3361.9420761838555,294.18816669761475
24680000,-3368.998174202512,307.3713600237401
24720000,-3323.0168242529035,289.26683368633263
24760000,-3376.3065073490143,297.713596626311
24800000,-3406.183555036783,313.82045382429334
24840000,-3314.590888261795,275.779408504869
24880000,-3376.5399507566763,269.96000491034414
24920000,-3389.9403878506273,309.8670406880309
24960000,-3400.9424499031156,305.8530311797922
25000000,-3325.932253682986,282.75597465189946
25040000,-3323.8142031620955,286.10170147693617
25080000,-3465.6910557746887,317.50169944986436
25120000,-3380.071854630485,277.66697455049206
25160000,-3354.1375963911414,301.37580377325696
25200000,-3429.9596267882735,279.50855608950707
25240000,-3419.919541108422,311.5084279830728
25280000,-3360.8441799283028,286.56809474454604
25320000,-3354.3372235875577,274.102244608671
25360000,-3419.174676209688,276.27125524431466
25400000,-3324.0055168904364,308.69677629583975
25440000,-3506.0176549442112,309.81740160810614
25480000,-3353.114830762148,316.5522843816872
25520000,-3305.571425795555,288.912730469161
25560000,-3349.636428397149,298.3412382600184
25600000,-3360.0597785562277,309.64670485112345
25640000,-3326.8115000724792,281.4294754174656
25680000,-3295.205490041175,287.49767735242546
25720000,-3318.9120416790247,308.3718170849128
25760000,-3363.669528310653,297.00866345373805
25800000,-3361.595112366602,315.5084168042366
25840000,-3475.14734095335,301.29820766668536
